name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
Teppo Européen,", armes à feu importées par les missionnaires chrétiens",-1,2,0,"{""hidden"": ""0"", ""on_recrutment"": ""FALSE"", ""on_transformation"": {""worker_is_alive"": ""1"", ""controller_has_zone"": ""Côte Est d’Awa""}}",Hobby
Juzu (数珠) – Un bracelet de perles bouddhistes,", utilisé pour la prière mais aussi comme symbole d’appartenance à une école spirituelle",1,0,0,,Hobby
Jirei (持鈴) – Une petite clochette,", utilisée pour signaler sa présence dans les temples, ou détourner l’attention",1,0,0,,Hobby
Nōkyōchō (納経帳) – Un carnet de pèlerinage,", pouvant cacher des messages codés",1,0,0,,Hobby
Ofuda (お札) – Talismans,", parfois utilisés comme code de reconnaissance",1,0,0,,Hobby
Kōro (香炉) – Petit encensoir de voyage,", utilisé dans les rites mais aussi pour masquer d’autres odeurs",1,0,0,,Hobby
Uchitake (打竹) – Bâtons creux en bambou,", utilisés pour transmettre des sons codés ou cacher de petits objets",1,0,0,,Hobby
Sensu (扇子) – Éventail pliable,", utilisé pour transmettre des messages codés",1,0,0,,Hobby
Hyōshigi (拍子木) – Claves en bois,", utilisées dans les spectacles ou comme signal sonore",1,0,0,,Hobby
Shamisen (三味線) – Instrument à cordes,", central dans la musique des geishas",1,0,0,,Hobby
Furushiki (風呂敷) – Carré de tissu,", utilisé pour emballer ou transporter des objets",1,0,0,,Hobby
Makimono (巻物) – Rouleau calligraphié,", utilisé pour transmettre un poème ou un message esthétique",1,0,0,,Hobby
Go-ban (碁盤) – Plateau de Go,", accompagné de pierres noires et blanches",1,0,0,,Hobby
Koma (駒) – Pièces de shōgi,", jeu de stratégie prisé des samouraïs",1,0,0,,Hobby
Kōdōgu (香道具) – Ustensiles du kōdō,", brûleurs, pinces, cendriers raffinés",1,0,0,,Hobby
Etegami (絵手紙) – Cartes illustrées,", accompagnées de haïkus ou proverbes",1,0,0,,Hobby
Ukiyo-e (浮世絵) – Estampes artistiques,", représentant des scènes de vie ou de la nature",1,0,0,,Hobby
Fude (筆) – Pinceau de calligraphie,", souvent conservé dans un étui de bambou",1,0,0,,Hobby
Tokkuri (徳利) – Bouteille à saké,", en céramique pour servir le saké chaud",2,0,-1,,Hobby
Mala-no-fuku (摩羅の服) – Vêtement d’ascète,", permettant de dissimuler objets ou armes discrètes",2,0,-1,,Hobby
Shōkadō bentō (松花堂弁当) – Boîte à compartiments,", utilisée lors de repas raffinés",2,0,-1,,Hobby
Chadōgu (茶道具) – Ustensiles du thé,", bol, fouet, cuillère, etc",2,0,-1,,Hobby
Kongōzue (金剛杖) – Un bâton de pèlerin,", à la fois soutien physique et arme d’autodéfense",0,1,1,,Hobby
Tantō (短刀) – Un petit poignard,", facile à dissimuler, souvent utilisé pour les assassinats silencieux ou le seppuku rituel",0,1,1,,Hobby
Fukiya (吹き矢) – Sarbacane silencieuse,", utilisée pour endormir ou empoisonner",0,1,1,,Hobby
Shikomi-zue (仕込み杖) – Canne-lame,", idéale pour passer inaperçu",0,1,1,,Hobby
Chigiriki (契木) – Masse à chaîne,", dissimulée dans un bâton, arme piégeuse",0,1,1,,Hobby
Tessen (鉄扇) – Éventail de fer,", à la fois accessoire et arme défensive ou offensive",0,1,1,,Hobby
Neko-te (猫手) – Griffes métalliques,", portées aux doigts, utilisées par les agents féminins ou espions",0,1,1,,Hobby
Wakizashi (脇差) – Sabre court,", pratique en intérieur ou pour les duels rapprochés",0,1,1,,Hobby
Shuriken (手裏剣) – Étoiles de lancer,", utilisées pour distraire ou blesser",0,1,1,,Hobby
Kunai (苦無) – Dague multi-usage,", pouvant être lancée ou utilisée comme outil",0,1,1,,Hobby
Kakute (角手) – Anneau à pointes,", souvent empoisonnées, porté pour des attaques discrètes",0,1,1,,Hobby
Hankyū (半弓) — Arc court,", pratique pour le combat rapproché ou en terrain dense, souvent utilisé par les fantassins",0,1,1,,Hobby
Kusarigama (鎖鎌) — Arme composée d’une faucille attachée à une chaîne lestée,", utilisée pour désarmer et piéger l’ennemi",0,1,1,,Hobby
Jitte (十手) – Arme de police,", utilisée pour parer les lames et capturer sans tuer",0,1,1,,Hobby
Teppō (鉄砲) – Un mousquet,", des prototypes artisanaux circulaient en version expérimentale dès la fin du 14e siècle",-1,2,1,,Hobby
