name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
Kinjirō (金次郎) – Intendant financier,", chargé de la gestion des richesses et récoltes du domaine",1,0,0,,Metier
Kashi (歌師) – Poète officiel,", ou maître du chant, souvent présent pour les divertissements de cour",1,0,0,,Metier
Shikibu (式部) – Maître de cérémonie,", en charge du protocole et de l’organisation des audiences",1,0,0,,Metier
Bugyō (奉行) – Magistrat ou officier administratif,", responsable de fonctions judiciaires ou logistiques",1,0,0,,Metier
Koto-hime (琴姫) – Musicienne,", jouant du koto lors des banquets et cérémonies",1,0,0,,Metier
Kōshitsu (香師) – Spécialiste de l’art de l’encens,", en charge des parfums et de l’ambiance",1,0,0,,Metier
Kasō (花匠) – Artiste florale,", chargée des arrangements ikebana dans les salons du palais",1,0,0,,Metier
Shodō-ka (書道家) – Calligraphe raffinée,", pratiquant pour l’art et les documents officiels",1,0,0,,Metier
Hōin (法印) – Prêtresse ou religieuse conseillère,", parfois formée aux arts divinatoires",1,0,0,,Metier
Yūjo (遊女) – Courtisane cultivée,", parfois invitée lors de réceptions de haut rang",1,0,0,,Metier
Jōhō-gashi (情報頭) – Collecteur d’informations,", actif sur les routes ou dans les marchés",1,0,0,,Metier
Mimiiri (耳入) – Informateur discret,", placé parmi les serviteurs ou les marchands",1,0,0,,Metier
Onmyōji (陰陽師) – Devin et exorciste,", spécialiste des arts occultes et des influences célestes",1,0,0,,Metier
Kannushi (神主) – Prêtre shintō,", gardien des sanctuaires et officiant les rites sacrés",1,0,0,,Metier
Miko (巫女) – Servante shintō,", pratiquant la danse rituelle et les oracles",1,0,0,,Metier
Nōgakushi (能楽師) – Acteur de théâtre Nō,", maître de la performance codifiée mêlant chant, danse et spiritualité",1,0,0,,Metier
Tsūshi (通使) – Diplomate ou émissaire,", habile orateur chargé de négociations sensibles",1,0,0,,Metier
Karō (家老) – Conseiller principal,", souvent responsable de l’administration du domaine",2,0,-1,,Metier
Shōshō (少将) – Intendante ou gouvernante,", supervisant les affaires internes de la demeure",2,0,-1,,Metier
Chajin (茶人) – Maître de thé,", responsable des cérémonies du thé et de l’étiquette liée au chanoyu",2,0,-1,,Metier
Geisha (芸者) – Artiste raffinée,", experte en musique, danse, conversation et arts traditionnels",2,0,-1,,Metier
