name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
"War Gear"," combat equipment",0,2,1,"{""on_recrutment"": ""FALSE""}",Transformation
"Shadow Cloak"," stealth equipment",1,0,1,"{""on_recrutment"": ""FALSE""}",Transformation
"Combat Vest"," location-locked vest",0,1,1,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""worker_in_zone"": ""Beta-Combat""}}",Transformation
"Test Gold Cost Explicit"," gate + cost Gold=3, explicit consume:true",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 3, ""consume"": true}}}",Transformation
"Test Gold Cost Default"," gate + cost Gold=3, consume omitted (D5 default deduct)",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 3}}}",Transformation
"Test Gold Gate Optout"," gate-only Gold=1, explicit consume:false",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 1, ""consume"": false}}}",Transformation
"Test OR Zone Or Gold"," OR: zone Gamma-Claims (free) OR Gold=1 (paid)",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""OR"": [{""controller_has_zone"": ""Gamma-Claims""}, {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 1, ""consume"": true}}]}}",Transformation
"Test D21 Direct And OR"," D21 direct Gold=3 + OR zone or alive (non-resource OR)",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 3, ""consume"": true}, ""OR"": [{""controller_has_zone"": ""Gamma-Claims""}, {""worker_is_alive"": ""1""}]}}",Transformation
"Test D21 Cross Resource"," D21 direct Gold + OR Silver (cross-resource warning path)",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 1, ""consume"": true}, ""OR"": [{""controller_has_ressource"": {""ressource_name"": ""Silver"", ""amount"": 1, ""consume"": true}}]}}",Transformation
"Test Malformed Amount"," D3 malformed amount=0 dropped",0,0,0,"{""on_recrutment"": ""FALSE"", ""on_transformation"": {""controller_has_ressource"": {""ressource_name"": ""Gold"", ""amount"": 0}}}",Transformation
