factions__name->faction_id,powers__name->link_power_type__power_id
Brujah,Célérité
Brujah,Puissance
Brujah,Présence
Ventrue,Présence
Ventrue,Domination
Ventrue,Endurance
Toréador,Célérité
Toréador,Présence
Toréador,Augure
Tremere,Augure
Tremere,Thaumaturgie
Tremere,Domination
Malkavien,Augure
Malkavien,Occultation
Malkavien,Aliénation
Gangrel,Endurance
Gangrel,Protéisme
Gangrel,Animalisme
Nosfératu,Animalisme
Nosfératu,Puissance
Nosfératu,Occultation
Giovanni,Puissance
Giovanni,Domination
Giovanni,Nécromancie
Assamites,Célérité
Assamites,Occultation
Assamites,Quiétus
Disciple,Serpentis
Disciple,Endurance
Disciple,Présence
Tzimisce,Vicissitude
Tzimisce,Animalisme
Tzimisce,Augure
Lasombra,Obténébration
Lasombra,Puissance
Lasombra,Domination
Démon,Obténébration
Démon,Puissance
Démon,Domination
Eglise,Vraie Foi
Eglise,Sentir le mal
