name,description,enquete,attack,defence,other,linkTable_power_types__name->link_power_type__power_type_id
Acteur.rice amateur.rice,,1,0,0,{},Hobby
Musicien.ne de rue,,1,0,0,{},Hobby
Fan de romans policiers,,1,0,0,{},Hobby
Photographe amateur.rice,,1,0,0,{},Hobby
Collectionneur.se obsessionnel.le,,1,0,0,{},Hobby
Scout,,1,0,0,{},Hobby
Globe-trotteur.se,,1,0,0,{},Hobby
Ornithologue,,1,0,0,{},Hobby
Peintre copiste,,1,0,0,{},Hobby
Aristocrate,,1,0,0,{},Hobby
Membre du club de crochet,,1,0,0,{},Hobby
Propriétaire de lévrier italien,,1,0,0,{},Hobby
Voisin.e vigilant.e,,1,0,0,{},Hobby
Cinéphile néoréaliste,,1,0,0,{},Hobby
Bricoleur.se autodidacte,,1,0,0,{},Hobby
Poète urbain.e,,1,0,0,{},Hobby
Joueur.se d’échecs,,1,0,0,{},Hobby
Radio-amateur.rice,,1,0,0,{},Hobby
Danseur.se de bal populaire,,1,0,0,{},Hobby
Écrivain.e de science-fiction,,1,0,0,{},Hobby
Joueur.se de scopa (cartes),,1,0,0,{},Hobby
Lecteur.rice de fumetti (BD),,1,0,0,{},Hobby
Intellectuel.le marxiste,,1,0,0,{},Hobby
Rugbyman.woman du dimanche,,0,1,1,{},Hobby
Militaire réserviste,,0,1,1,{},Hobby
Adepte d’arts martiaux,,0,1,1,{},Hobby
Escrimeur.se,,0,1,1,{},Hobby
Manifestant.e régulier.ère,,0,1,1,{},Hobby
Alcoolique,,0,1,1,{},Hobby
Pompier.ère volontaire,,0,1,1,{},Hobby
Chasseur.se du dimanche,,0,1,1,{},Hobby
Boxeur.se en club,,0,1,1,{},Hobby
Footballeur.se de quartier,,0,1,1,{},Hobby
Marcheur.se de randonnée,,0,1,1,{},Hobby
Ancien.ne Résistant.e,,0,1,1,{},Hobby
Tireur.se de foire,,0,1,1,{},Hobby
Collectionneur.se de couteaux,,0,1,1,{},Hobby
Artiste en graffitis politiques,,0,1,1,{},Hobby
Petite frappe de la mafia,,0,1,1,{},Hobby
Adepte de muscu,,-1,2,1,{},Hobby
Dresseur.se de pitbulls,,-1,2,1,{},Hobby
Chauffard.e en Vespa,,-1,2,1,{},Hobby
"Hooligan ""tifoso.a""",,-1,2,1,{},Hobby
Personne droguée au LSD,,1,1,-1,{},Hobby
Punk à chien,,1,1,-1,{},Hobby
Militant.e écologique,,1,1,-1,{},Hobby
Pêcheur.se solitaire,,1,1,-1,{},Hobby
Membre du Parti communiste,,1,1,-1,{},Hobby
Anarchiste romantique,,1,1,-1,{},Hobby
Astronome amateur.rice,,2,0,-1,{},Hobby
Rôliste,,2,-1,0,{},Hobby
Oiseau de nuit,,2,-1,0,{},Hobby
Chrétien.ne pratiquant.e,,1,1,1,"{""on_recrutment"": {""action"": {""type"": ""go_traitor"", ""controller_lastname"": ""Lorenzo""}}}",Hobby
