name,value,description
DEBUG,FALSE,Activates the Debugging texts
DEBUG_REPORT,FALSE,Activates the Debugging texts for the investigation report
DEBUG_ATTACK,FALSE,Activates the Debugging texts for the attack report mechanics
DEBUG_TRANSFORM,FALSE,Activates the Debugging texts for the attack report mechanics
ACTIVATE_TESTS,TRUE,Activates the insertion of tests values
TITLE,Firenze 1966,Name of game
PRESENTATION,"<p>Le 6 novembre 1966, l’Arno inonde une grande partie du centre-ville, endommageant de nombreux chefs-d’œuvre et déplaçant la population du centre ville.
        Un grand mouvement de solidarité internationale naît à la suite de cet évènement et mobilise des milliers de volontaires, surnommés Les anges de la boue.
        Dans les jours suivant la catastrophe les forces surnaturelles reprennent doucement pied dans la ville. Retrouverez vous votre pouvoir d’antan ?
        </p>",Presentation text
IntrigueOrga,,Organisation info
basePowerNames,"'Célérité', 'Endurance', 'Puissance'",List of Powers accessible to all workers
turn_recrutable_workers,1,Number of workers recrutable per turn
turn_firstcome_workers,1,Number of worker recrutable by firstcome pick per turn
first_come_nb_choices,1,Number of worker options presented for 1st come recrutment
first_come_origin_list,rand,Origins used for worker generation
recrutement_nb_choices,3,Number of choices presented for recrutment
recrutement_origin_list,"1,2,3,4,5",Origins used for worker generation
local_origin_list,1,Spécific list of local origins for investigations texts
recrutement_disciplines,1,Number of disciplines allowed on recrutment
recrutement_transformation,"{""action"": ""check""}",Json string calibrating transformations allowed on recrutment
age_discipline,"{""age"": [""2""]}",If disciplines can be gained with AGE
age_transformation,"{""action"": ""check""}",If transformation can be gained with AGE
MINROLL,1,Minimum Roll for an active worker
MAXROLL,6,Maximum Roll for a an active worker
PASSIVEVAL,3,Value for passive actions
ENQUETE_ZONE_BONUS,0,Bonus à la valeur enquete si le worker est dans une zone contrôlée
ATTACK_ZONE_BONUS,0,Bonus à la valeur attaque si le worker est dans une zone contrôlée
DEFENCE_ZONE_BONUS,1,Bonus à la valeur défense si le worker est dans une zone contrôlée
HIDE_ENQUETE_FLAT_BONUS,4,Bonus to the investigate value if the worker is using hide
HIDE_DEFENCE_FLAT_BONUS,1,Bonus to the investigate value if the worker is using hide
passiveInvestigateActions,"'passive','attack','captured','hide'",Liste of passive investigation actions
activeInvestigateActions,"'investigate','claim'",Liste of active investigation actions
passiveAttackActions,"'passive','investigate','hide'",Liste of passive attack actions
activeAttackActions,"'attack','claim'",Liste of active attack actions
passiveDefenceActions,"'passive','investigate','attack','claim','captured','hide'",Liste of passive defence actions
activeDefenceActions,,Liste of active defense actions
REPORTDIFF0,-1,Value for Level 0 information
REPORTDIFF1,1,Value for Level 1 information
REPORTDIFF2,2,Value for Level 2 information
REPORTDIFF3,4,Value for Level 3 information
LOCATIONNAMEDIFF,0,Value for Location Name
LOCATIONINFORMATIONDIFF,1,Value for Location Information
LOCATIONARTEFACTSDIFF,2,Value for Location Artefact discovery
attackTimeWindow,1,Number of turns a discovered worker is attackable after being lost
canAttackNetwork,1,"If 0 then only workers ar shown, > 0 then workers are sorted by networks when network is known = REPORTDIFF2 obtained "
LIMIT_ATTACK_BY_ZONE,0,"If 0 then attack happens if worker leave zone, > 0 then attack is limited to workers in zone"
ATTACKDIFF0,1,Value for Attack Success
ATTACKDIFF1,3,Value for Capture
RIPOSTACTIVE,1,Activate Ripost when attacked
RIPOSTDIFF,2,Value for Successful Ripost
DISCRETECLAIMDIFF,2,Value for discrete claim
VIOLENTCLAIMDIFF,0,Value for violent claim
txt_ps_passive,surveille,Text for passive action
txt_ps_investigate,enquête,Text for investigate action
txt_ps_hide,se cache,Text for hide action
txt_ps_attack,attaque,Text for attack action
txt_ps_claim,revendique le quartier,Text for claim action
txt_ps_captured,a disparu,Text for captured action
txt_ps_dead,a disparu,Text for dead action
txt_ps_prisoner,est un.e agent %s %s que nous avons fait.e prisonnier.e,Text for beeing prisoner
txt_ps_double_agent,a infiltré le réseau %s %s ,Text for being infiltrator
txt_inf_passive,surveiller,Text for passive action
txt_inf_investigate,enquêter,Text for investigate action
txt_inf_hide,se cacher,Text for hide action
txt_inf_attack,attaquer,Text for attack action
txt_inf_claim,revendiquer le quartier,Text for claim action
txt_inf_captured,as été capturer,Text for captured action
txt_inf_dead,est mort,Text for dead action
continuing_investigate_action,false,Does the investigate action stay active
continuing_claimed_action,false,Does the claim action stay active
baseDiscoveryDiff,3,Base discovery value for bases
baseDiscoveryDiffAddPowers,1,Base discovery value Power presence ponderation 0 for no
baseDiscoveryDiffAddWorkers,1,Base discovery value worker presence ponderation 0 for no
baseDiscoveryDiffAddTurns,0.5,Base discovery value base age presence ponderation 0 for no
maxBonusDiscoveryDiffPowers,5,Maximum bonus obtainable from power presence
maxBonusDiscoveryDiffWorkers,4,Maximum bonus obtainable from worker presence
maxBonusDiscoveryDiffTurns,3,Maximum bonus obtainable from age of base
baseAttack,0,Base attack value for bases
baseAttackAddPowers,1,Base attack value Power presence ponderation 0 for no
baseAttackAddWorkers,1,Base attack value worker presence ponderation 0 for no
baseDefence,0,Base defence value for bases
baseDefenceAddPowers,1,Base defence value Power presence ponderation 0 for no
baseDefenceAddWorkers,1,Base defence value worker presence ponderation 0 for no
baseDefenceAddTurns,0.5,Base defence value base age presence ponderation 0 for no
noControllerDefenceBonus,3,Base defence value for no controller
maxBonusDefenceTurns,3,Maximum bonus obtainable from age of base
attackLocationDiff,1,Difficulty to destroy a Location
textLocationDestroyed,Le lieu %s a été détruit selon votre bon vouloir.,Text for location destroyed
textLocationPillaged,"Le lieu %s a été pillé, mais nous n’avons pas pu le détruire.",Text for location pillaged
textLocationNotDestroyed,"Le lieu %s n’a pas été détruit, nos excuses.",Text for location not destroyed
textOwnedArtefacts,Vos artefacts :,Text for location owned artefacts
ressource_management,FALSE,Ressource management configuration
map_file,carte_quartiers_florence.jpg,Map file to use
map_alt,Carte des Quartiers de Florence,Map alt
controllerNameDenominatorThe,,Denominator ’the’ for the controler name
controllerNameDenominatorOf,de,Denominator ’of’ for the controler name
controllerLastNameDenominatorOf,de,Denominator ’of’ for the controler last name
textForZoneType,quartier,Text for the type of zone
timeValue,Semaine,Text for time span
timeDenominatorThis,cette,Denominator ’this’ for time text
timeDenominatorThe,la,Denominator ’the’ for time text
timeDenominatorOf,de la,Denominator ’of’ for time text
textRecrutementJobHobby,"%5$s, %4$s",string to present hobby %4$s and job %5$s on recrutement
textViewWorkerJobHobby,c’était un.e %3$s et iel est un.e %2$s,string to present hobby %2$s and job %3$s view of worker
textViewWorkerDisciplines,Ses disciplines développées sont : %s <br />,Texts for worker view page disciplines
textViewWorkerTransformations,Iel a été transformé.e en : %s <br />,Texts for worker view page transformations
texteNameBase,Repaire %s,Text for Name of base
texteDescriptionBase,"Nous avons trouvé le repaire de %1$s des %2$s. Ses serviteurs ne semblent pas avoir fini de remettre en place les défenses qui existaient avant la crue.
    En attaquant ce lieu nous pourrions lui porter un coup fatal.
    Sa disparition provoquerait certainement quelques questions à l’Elyséum, mais un joueur en moins sur l’échiquier politique est toujours bénéfique.
    Nous ne devons pas tarder à prendre notre décision, ses défenses se renforcent de %3$s en %3$s.",Texts for description of base
texteHiddenFactionBase,"
       Il nous apparait en fouillant le lieu que quelqu’un s’est donné beaucoup de mal pour que ce repaire donne l’impression d’être du clan %1$s, mais en réalité son propriétaire est du clan %2$s.",Texts for secret faction description of base
textControllerActionCreateBase,Créer un repaire dans le quartier :,create base texte in controller view actions
textControllerActionMoveBase,Déplacer le repaire vers le quartier :,move base texte in controller view actions
textcontrollerRecrutmentNeedsBase,Nous ne pouvons pas recruter sans avoir un repaire.,needed base for recrutment
textesStartInvestigate,<p> Nous avons mené l’enquête dans le quartier %s.</p>,Texts for start of investigation
textesFoundDisciplines,"[
        ""Iel a de plus une maitrise de la discipline %s. "",
        ""En plus, iel maitrise la discipline %s. "",
        ""Nous avons également remarqué sa pratique de la discipline %s. "",
        ""Ces observations se cumulent avec son utilisation de la discipline %s. ""
    ]",Texts for extra disciplines
textesOrigine,"[
        ""J’ai des raisons de penser qu’iel est natif.ve de %s. "",
        ""En plus, iel est originaire de %s. "",
        ""Je m’en méfie, iel vient de %s. ""
    ]",Texts for origin detection
